12,42.411852,-71.297913,
22,42.411776,-71.297946,
11,42.411880,-71.297913,
22,42.411880,-71.297913,
31,0.000000,0.000000,C
32,42.411880,-71.297913,
36,0.000000,0.000000,C
42,42.411880,-71.297913,
52,42.411880,-71.297913,
62,42.411880,-71.297913,
72,42.411880,-71.297913,
82,42.411852,-71.297913,
84,0.000000,0.000000,C
11,42.411942,-71.297884,
21,42.411880,-71.297946,
31,42.411880,-71.297913,
41,42.411880,-71.297884,
51,42.411852,-71.297884,
61,42.411852,-71.297884,
71,42.411804,-71.297822,
81,42.411804,-71.297760,
91,42.411804,-71.297760,
101,42.411852,-71.297822,
111,42.411852,-71.297851,
121,42.411852,-71.297851,
131,42.411852,-71.297851,
141,42.411880,-71.297851,
151,42.411880,-71.297851,
161,42.411880,-71.297851,
171,42.411880,-71.297851,
181,42.411880,-71.297851,
191,42.411880,-71.297822,
201,42.411880,-71.297822,
211,42.411880,-71.297822,
221,42.411880,-71.297822,
231,42.411852,-71.297822,
241,42.411852,-71.297822,
251,42.411852,-71.297822,
261,42.411852,-71.297822,
271,42.411880,-71.297851,
11,42.411852,-71.297946,0
11,42.411852,-71.297946,
21,42.411880,-71.297946,
23,42.411880,-71.297946,1
31,42.411852,-71.297913,
41,42.411852,-71.297946,
51,42.411880,-71.297946,
12,42.411914,-71.297913,
12,42.411914,-71.297913,0
21,42.411880,-71.297913,1
22,42.411880,-71.297913,
32,42.411852,-71.297913,
42,42.411852,-71.297884,
52,42.411804,-71.297851,
62,42.411804,-71.297822,
72,42.411804,-71.297731,
82,42.411776,-71.297760,
92,42.411742,-71.297946,
102,42.411742,-71.298065,
112,42.411714,-71.298251,
122,42.411685,-71.298370,
132,42.411685,-71.298342,
142,42.411776,-71.298370,
152,42.411776,-71.298523,
162,42.411804,-71.298647,
172,42.411880,-71.298709,
182,42.411914,-71.298800,
192,42.411971,-71.298890,
202,42.412033,-71.298828,
212,42.412066,-71.298862,
214,42.412066,-71.298862,2
222,42.412066,-71.298828,
232,42.412109,-71.298709,
242,42.412171,-71.298585,
252,42.412233,-71.298494,
262,42.412338,-71.298404,
272,42.412400,-71.298251,
282,42.412429,-71.298127,
292,42.412462,-71.298003,
302,42.412491,-71.297884,
312,42.412553,-71.297731,
322,42.412491,-71.297731,
332,42.412429,-71.297822,
342,42.412372,-71.297851,
352,42.412338,-71.297851,
362,42.412338,-71.297884,
372,42.412338,-71.297851,
380,42.412338,-71.297884,3
382,42.412338,-71.297884,
392,42.412262,-71.298003,
398,42.412233,-71.298065,4
402,42.412233,-71.298037,
412,42.412262,-71.297913,5
412,42.412262,-71.297913,
419,42.412233,-71.297851,6
422,42.412200,-71.297851,
432,42.412143,-71.297975,
434,42.412143,-71.298003,7
442,42.412109,-71.298099,
447,42.412033,-71.298156,8
452,42.412066,-71.298099,
462,42.412109,-71.298003,
467,42.412143,-71.297946,9
472,42.412171,-71.297884,
475,42.412171,-71.297822,10
481,42.412143,-71.297760,11
482,42.412143,-71.297760,
492,42.412143,-71.297760,
502,42.412143,-71.297731,
512,42.412066,-71.297698,
522,42.412066,-71.297579,
532,42.412143,-71.297455,
542,42.412200,-71.297364,
552,42.412200,-71.297274,
562,42.412109,-71.297364,
572,42.412033,-71.297364,
582,42.411942,-71.297364,
592,42.411880,-71.297274,
602,42.411776,-71.297240,
612,42.411714,-71.297426,
622,42.411685,-71.297545,
632,42.411652,-71.297698,
642,42.411623,-71.297851,
652,42.411575,-71.298003,
662,42.411575,-71.298189,
672,42.411652,-71.298342,
682,42.411714,-71.298218,
692,42.411742,-71.298099,
702,42.411742,-71.297946,
712,42.411804,-71.297822,
722,42.411852,-71.297731,
